"X","Y"
116.5,75.8
126,85.3
121.7,83.1
122.1,79.2
120.4,80.1
117.2,82.2
123.4,80.1
128.3,81.4
123.5,79.3
122.9,82.1
123.2,77.3
118.5,77.8
120.4,80.8
116.3,78.1
125.5,81.8
118.9,78.3
125.5,81.5
117.2,82.5
123.1,81.6
116,82.3
124.8,85.8
119.5,82.7
119.1,81.4
118.1,78.5
121.7,81.6
126.6,83.3
123.8,83.2
116.1,81.7
126.9,85.9
120.8,80.4
125.3,82.9
118.5,77.4
125.8,79.1
112.6,81.2
115.7,76.6
122.4,76.3
115.8,79.1
120.6,72.8
113.9,82.5
117.2,80.9
119,87.5
117.9,81.5
121.1,82.8
119.6,79.5
118.7,83.2
119.9,81.3
115.4,70.7
116.4,79.8
121.4,83.8
118.5,77
122.8,77.2
119.6,80.6
114.5,76.8
126,80.5
117.7,81.2
118.5,83.7
126,83.7
125.2,82.1
115,81.8
117.5,78.3
121.2,82
125.9,78.3
117.1,82
113.8,75.7
121.6,75
118.8,78.8
115.7,80.5
117.8,81.8
115.9,82.9
117.2,84
121,80.1
119.3,76.1
121.7,75.4
123.6,77.1
117,80
119.8,86.7
117.7,76.9
114.4,74.6
120.7,85.9
119.1,82.7
121.3,79.6
125.6,80.9
121.3,79.9
120.1,80.8
121.9,82.1
117.3,80.6
117,72.7
122.2,82.6
124.7,82.2
115.4,78.2
122,76.8
120.1,80.8
124.4,79.5
119.5,82.7
124.7,81.1
123.8,81.5
121.9,78.8
118.9,78.9
121.9,82.5
113.6,79
125.3,84.6
122.9,80.1
119.3,81.2
119.3,77.9
116,81.2
113.3,80
